School District,School Name,Location,Year Joined Arts for All,Grade Span,Enrollment ,Average class size,% Free meals,Pupils per teacher,API Base ,Community Arts Partners,Dance,Literature,Media Arts, Music/Opera,Theatre,Visual Art
Long Beach Unified,Gant Elementary,"1854 Britton Drive
Long Beach 90815
(33.790029239000035, -118.11922601199996)",n/a, K-05,647,27,17.9%,25.2,949,Carpenter Performing Arts Center; International City Theatre; Musical Theatre West,,,,,Theatre,
Palos Verdes Peninsula Unified,Palos Verdes Intermediate,"2161 Via Olivera
Palos Verdes Estates 90274
(33.776482387000044, -118.41179268199994)",2005, 05-08,978,31.6,1.7%,27.2,956,Palos Verdes Art Center; Shakespeare by the Sea,,,,,Theatre,Visual Art
Los Angeles Unified,Accelerated Elementary Charter,"119 East 37th Street
Los Angeles 90011
(34.01492770600004, -118.27338944599995)",n/a, K-05,167,,92.8%,24.6,760,Skirball Cultural Center,,,,,,Visual Art
Los Angeles County Office of Education,"Nidorf, Barry J. Juvenile Hall","16350 Filbert Street
Sylmar 91342
(34.31522271800003, -118.48554757299996)",2003, 09-12,264,,91.7%,9.5,516,CalArts Community Arts Partnership (CAP),,,,,,Visual Art
Los Angeles Unified,Equitas Academy Charter,"1700 West Pico Boulevard
Los Angeles 90015
(34.04527535200003, -118.27839034899995)",n/a, K-03,240,21.4,93.3%,18.5,868,24th Street Theatre Company; Skirball Cultural Center,,,,,Theatre,Visual Art
Sulphur Springs Union,Golden Oak Community,"25201 Via Princessa
Santa Clarita 91321
(34.391750898000055, -118.45524518099995)",2011, K-06,475,23.9,19.4%,25.7,909,Santa Clarita PAC; The Music Center,Dance,,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Animo Locke II College Preparatory Academy,"325 East 111th Street
Los Angeles 90061
(33.934838359000025, -118.26828944599998)",n/a, 09-12,811,20.5,92.8%,20.7,541,Watts Village Theater Company,,,,,Theatre,
Los Angeles Unified,Academy for Multiligual Arts and Science at Mervyn M. Dymally High,"8800 South San Pedro Street
Los Angeles 90003
(33.95710966200005, -118.26947629699998)",n/a,no data,,,,,,The Music Center,Dance,,,Music/Opera,,
Redondo Beach Unified,Madison Elementary,"2200 MacKay Lane
Redondo Beach 90278
(33.875410576000036, -118.36852644099997)",2007, K-05,439,25.2,27.6%,23.1,906,Autry Museum; The Music Center,Dance,,,Music/Opera,,Visual Art
Los Angeles Unified,Humanitas Art School at Roosevelt High,"456 South Mathews Street
Los Angeles 90033
(34.03920404000007, -118.21122855599998)",n/a, 09-12,487,18.7,86.7%,18,563,826LA; Geffen Playhouse,,Literature,,,Theatre,
Los Angeles Unified,Euclid Avenue Elementary,"806 Euclid Avenue
Los Angeles 90023
(34.031043520000026, -118.20707332299997)",n/a, K-05,1043,22.6,89.4%,22.2,728,24th Street Theatre Company; Autry Museum; The Music Center; Screen Actors Guild Foundation,Dance,,,,Theatre,Visual Art
Los Angeles Unified,Center for Advanced Learning,"4016 South Central Avenue
Los Angeles 90011
(34.01071920000004, -118.25646361499997)",n/a, K-05,290,24.2,96.9%,22.3,816,Autry Museum,,,,,,Visual Art
Los Angeles Unified,Dahlia Heights Elementary,"5063 Floristan Avenue
Los Angeles 90041
(34.13862631100005, -118.19883220299994)",n/a, K-06,379,23.6,48.5%,21.9,859,Actors' Gang; Autry Museum; Center for the Arts Eagle Rock; LA Opera; Los Angeles Chamber Orchestra; Shakespeare At Play; Story Pirates; The Music Center,Dance,Literature,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Hobart Boulevard Elementary,"980 South Hobart Boulevard
Los Angeles 90006
(34.053050950000056, -118.30519588099997)",n/a, K-05,793,24.8,87.6%,22,821,Young Musicians Foundation,,,,Music/Opera,,
Pasadena Unified,Hamilton Elementary,"2089 Rose Villa Street
Pasadena 91107
(34.14082832200006, -118.10805889899996)",2003, K-05,577,25.9,49.6%,24,901,Armory Center for the Arts; Autry Museum; Flights of Fantasy Story Theatre; Pasadena Conservatory of Music; Pasadena Museum of California Art; Side Street Projects,,,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,John F. Kennedy High,"11254 Gothic Avenue
Granada Hills 91344
(34.274632446000055, -118.48851325699997)",n/a, 09-12,2516,30.5,58.6%,25.3,713,The Music Center,,,,Music/Opera,,
William S. Hart Union High,Rio Norte Junior High,"28771 Rio Norte Drive
Santa Clarita 91354
(34.46044836500005, -118.55846920899995)",n/a, 07-08,1179,21.7,7.9%,24.1,911,Santa Clarita PAC; Will Geer Theatricum Botanicum,Dance,,,Music/Opera,Theatre,
Norwalk-La Mirada Unified,Reginald M. Benton Middle,"15709 East Olive Branch Road
La Mirada 90638
(33.90267205300006, -118.00708748799997)",2003, 06-08,598,29.9,54.3%,21.1,813,La Mirada Symphony Association,,,,Music/Opera,,
Los Angeles Unified,Goethe International Charter,"12500 Braddock Drive
Los Angeles 90066
(33.98850995300006, -118.42021067399997)",n/a, K-05,325,23.9,14.2%,25,891,Autry Museum,,,,,,Visual Art
Norwalk-La Mirada Unified,Eastwood Elementary,"15730 Pescados Drive
La Mirada 90638
(33.89751377400006, -117.99592035599994)",2003, K-05,500,29.4,26%,29.4,895,Francis Awe; La Mirada Symphony Association,Dance,,,Music/Opera,,
Los Angeles Unified,Fifty-Fourth Street Elementary,"5501 South Eileen Avenue
Los Angeles 90043
(33.99287994600007, -118.34307253599997)",n/a, K-05,370,23,85.1%,21.8,764,Autry Museum; Skirball Cultural Center; Stella Jones; Will Geer Theatricum Botanicum,Dance,,,,Theatre,Visual Art
Los Angeles Unified,Harrison Street Elementary,"3529 City Terrace Drive
Los Angeles 90063
(34.05399927800005, -118.18811367799998)",n/a, K-06,579,23.9,87.6%,21.4,705,Los Angeles Chamber Orchestra,,,,Music/Opera,,
Los Angeles Unified,Del Amo Elementary,"21228 Water Street
Carson 90745
(33.83554047300004, -118.24094695099996)",n/a, K-05,413,22.9,61%,22.9,807,Autry Museum; Inner-City Arts; The Music Center,Dance,,,Music/Opera,,Visual Art
Los Angeles Unified,Global Education Academy,"4141 South Figueroa Street
Los Angeles 90037
(34.00847884700005, -118.28275823099995)",n/a, K-05,240,20,97.5%,20,844,Museum of Contemporary Art,,,,,,Visual Art
Santa Monica-Malibu Unified,Webster Elementary,"3602 Winter Canyon
Malibu 90265
(34.038373697000054, -118.69934084399995)",2003, K-05,340,26.1,8.8%,22.7,950,Pepperdine CFA; Santa Monica Museum of Art,Dance,,,Music/Opera,Theatre,Visual Art
Alhambra Unified,Martha Baldwin Elementary,"900 South Almansor Street
Alhambra 91801
(34.10625180100004, -118.12729854799994)",2005, K-08,1064,29.6,67.1%,25,918,Pasadena Symphony Association,,,Media Arts,,,
Los Angeles Unified,Ninety-Third Street Elementary,"330 East 93rd Street
Los Angeles 90003
(33.95196357100008, -118.26745980299995)",n/a, K-06,1104,24.6,93.8%,23,730,Autry Museum; Skirball Cultural Center,,,,,,Visual Art
Santa Monica-Malibu Unified,Will Rogers Elementary,"2401 14th Street
Santa Monica 90405
(34.01161786700004, -118.47140460599996)",2003, K-05,489,23.3,59.1%,20.4,830,Morgan-Wixson Theatre; P.S. ARTS,,,,,Theatre,Visual Art
Bonita Unified,Oak Mesa Elementary,"5200 Wheeler Avenue
La Verne 91750
(34.12919027500004, -117.77677672399994)",n/a, K-05,551,27.5,7.8%,26.6,966,The Music Center,,,,Music/Opera,,
Pasadena Unified,Washington Middle,"1505 North Marengo Avenue
Pasadena 91103
(34.171773132000055, -118.14621052099994)",2003, 06-08,571,18.9,85.1%,14.1,698,The Music Center,Dance,,,Music/Opera,Theatre,
Whittier Union High,California High,"9800 S. Mills Avenue
Whittier 90604
(33.94443360500003, -118.02401461299996)",2009, 09-12,3094,32.4,61.5%,29.1,788,Los Angeles Master Chorale; Museum of Contemporary Art,,,,Music/Opera,,Visual Art
Los Angeles Unified,Madison Elementary,"9820 Madison Avenue
South Gate 90280
(33.94633082000007, -118.21467970699996)",n/a, K-05,583,23.4,91.6%,20.1,836,Skirball Cultural Center,,,,,,Visual Art
Los Angeles Unified,Barton Hill Elementary,"423 North Pacific Avenue
San Pedro 90731
(33.74646102300005, -118.28791280599995)",n/a, K-06,776,21.4,89.3%,20.4,779,Grand Vision Foundation; LA Opera,,,,Music/Opera,,
Los Angeles Unified,Alfred Bernhard Nobel Middle,"9950 Tampa Avenue
Northridge 91324
(34.251740056000074, -118.55353565699994)",n/a, 06-08,2430,33.1,45.6%,28.9,910,Will Geer Theatricum Botanicum,,,,,Theatre,
Los Angeles Unified,John B. Monlux Elementary,"6051 Bellaire Avenue
North Hollywood 91606
(34.18043109600006, -118.40947277599997)",n/a, K-05,769,24.7,69.2%,20.8,832,Autry Museum; Music Unlocks Success In Children Foundation; Skirball Cultural Center,,,,Music/Opera,,Visual Art
Los Angeles Unified,PUC Milagro Charter Elementary,"1855 North Main Street
Los Angeles 90031
(34.066416608000054, -118.22025427499995)",n/a, K-05,285,23.8,87%,20.4,894,Armory Center for the Arts,,,,,,Visual Art
Bassett Unified,Sunkist Elementary,"935 Mayland Avenue
La Puente 91746
(34.056536178000044, -117.97376769699997)",2007, K-05,575,24,82.4%,23,726,Autry Museum; Beth Sussman; The Music Center,,,,Music/Opera,Theatre,Visual Art
Paramount Unified,Howard Tanner,"7210 Rosecrans Avenue
Paramount 90723
(33.90356312600005, -118.17282981199997)",2006, K-05,644,30,91.1%,30.7,747,AMAN Dance Educators; Robin Kiss; The Music Center,Dance,,,,Theatre,Visual Art
Los Angeles Unified,Brentwood Science,"740 Gretna Green Way
Los Angeles 90049
(34.049655175000055, -118.47389339499995)",n/a, K-05,1250,26,73.3%,23.6,850,Autry Museum; Young Storytellers Foundation,,Literature,,,Theatre,Visual Art
Burbank Unified,John Muir Middle,"1111 North Kenneth Road
Burbank 91504
(34.19501519600004, -118.31129491699994)",2004, 06-08,1348,28.5,42.7%,24.4,890,"Freshi Media; INCA, the Peruvian Music & Dance Ensemble; Kate Randolph; The Music Center; Will Geer Theatricum Botanicum",Dance,,Media Arts,,Theatre,
Los Angeles Unified,Gates Street Elementary,"3333 Manitou Avenue
Los Angeles 90031
(34.072041367000054, -118.20508879399995)",n/a, K-05,713,22.3,94%,21.6,792,LA Opera; Musical Theatre Guild,,,,Music/Opera,Theatre,
Los Angeles Unified,Lexington Avenue Primary Center,"4564 West Lexington Avenue
Los Angeles 90027
(34.10546214900006, -118.29236751399998)",n/a, K-02,221,22.1,69.7%,22.1,787,Autry Museum; Broad Stage; Guild Opera Co.,,,,Music/Opera,Theatre,Visual Art
El Monte City Elementary,Cortada Elementary,"3111 North Potrero Avenue
El Monte 91733
(34.06528281300007, -118.055850524)",n/a, K-06,494,27.4,92.9%,26.6,741,Inland Pacific Ballet,Dance,,,,,
Los Angeles Unified,Apperson Street Elementary,"10233 Woodward Avenue
Sunland 91040
(34.255899793000026, -118.30708216599999)",n/a, K-05,434,24.1,50.9%,21.7,901,Autry Museum,,,,,,Visual Art
Los Angeles Unified,Bert Corona Charter,"9400 Remick Avenue
Pacoima 91331
(34.239770055000065, -118.41489879499994)",n/a, 05-10,374,26.3,90.9%,23.4,691,LA County Museum of Art,,,,,,Visual Art
Norwalk-La Mirada Unified,Loretta Lampton Elementary,"14716 Elmcroft Avenue
Norwalk 90650
(33.89667839100008, -118.09562350299996)",2003, K-05,634,26.4,76.5%,24.6,854,Francis Awe,Dance,,,Music/Opera,,
Los Angeles Unified,John Adams Middle ,"151 West 30th Street
Los Angeles 90007
(34.022486437000055, -118.27216148499997)",n/a, 06-08,1083,21.8,93.1%,17.5,742,Broad Stage; Inside Out Community Arts; Will Geer Theatricum Botanicum,,,Media Arts,,Theatre,
Los Angeles Unified,El Dorado Avenue Elementary,"12749 El Dorado Avenue
Sylmar 91342
(34.301487518000044, -118.46566725499997)",n/a, K-05,570,22.8,81.4%,21.1,778,Education Through Music-Los Angeles; Los Angeles Jewish Symphony ,,,,Music/Opera,,
Los Angeles Unified,Eagle Rock Elementary,"2057 Fair Park Avenue
Los Angeles 90041
(34.13583778900005, -118.21358486699995)",n/a, K-06,907,23.9,55.1%,21.6,875,Autry Museum; CalArts Community Arts Partnership (CAP); LA County Museum of Art; Museum of Contemporary Art; Will Geer Theatricum Botanicum,,,,Music/Opera,Theatre,Visual Art
Lawndale Elementary,Billy Mitchell Elementary,"14429 Condon Avenue
Lawndale 90260
(33.90059921000005, -118.35952925099997)",2008, K-06,617,23.7,82.2%,22.9,811,Broad Stage; P.S. ARTS; Skirball Cultural Center,,,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,School of History and Dramatic Arts at Sonia Sotomayor Learning Academies,"2050 San Fernando Road
Los Angeles 90065
(34.10177168000007, -118.23681459899996)",n/a, 09-11,247,19.9,88.7%,17.6,720,CalArts Community Arts Partnership (CAP),,Literature,,,Theatre,
Los Angeles Unified,Enadia Way Elementary ,"22944 Enadia Way
West Hills 91307
(34.200023343000055, -118.627608942)",n/a,no data,,,,,,Los Angeles Chamber Orchestra,,,,Music/Opera,,
Lawndale Elementary,Jane Addams Middle,"4535 West 153rd Place
Lawndale 90260
(33.89184578800007, -118.35651832499997)",2008, 06-08,902,28.9,86%,24.4,824,Broad Stage,Dance,,,,,
Los Angeles Unified,Manchester Avenue Elementary,"661 West 87th Street
Los Angeles 90044
(33.95874820600005, -118.28579952099994)",n/a, K-06,908,21.1,97%,18.9,782,Los Angeles Chamber Orchestra; Skirball Cultural Center,,,,Music/Opera,,Visual Art
Los Angeles Unified,Aspire Centennial College Preparatory Academy,"2079 Saturn Ave
Huntington Park 90255
(33.976949939000065, -118.23359688199997)",n/a, 06-08,540,30,96.7%,24.3,813,Skirball Cultural Center,,,,,,Visual Art
Lennox,Moffett Elementary,"11050 Larch Avenue
Lennox 90304
(33.935172297000065, -118.35034212)",2009, K-05,813,20.8,87.6%,19.6,790,Museum of Latin American Art,,,,,,Visual Art
Los Angeles Unified,Birmingham Community Charter High,"17000 Haynes Street
Van Nuys 91406
(34.18937856400004, -118.50567908899995)",n/a, 09-12,2712,31.7,77.7%,28.2,722,Mari Kono; Will Geer Theatricum Botanicum,,,Media Arts,,Theatre,
Los Angeles Unified,Aldama Elementary,"632 North Avenue 50
Los Angeles 90042
(34.109887195000056, -118.20577483799997)",n/a, K-06,675,23.3,78.1%,21.8,760,Autry Museum,,,,,,Visual Art
Pasadena Unified,Field (Eugene) Elementary,"3600 Sierra Madre Boulevard
Pasadena 91107
(34.16152435400005, -118.07685295699997)",2003, K-05,444,25.8,56.5%,24.7,787,Armory Center for the Arts; Inland Pacific Ballet; Pasadena Museum of California Art; Shumei Arts Council; Side Street Projects,Dance,,,Music/Opera,,Visual Art
Los Angeles Unified,Fairburn Avenue Elementary,"1403 Fairburn Avenue
Los Angeles 90024
(34.05942076400004, -118.43100316099998)",n/a, K-05,459,25.3,7.2%,24.2,976,"Skirball Cultural Center; Spirit Series, Inc.",,Literature,,,Theatre,Visual Art
Los Angeles Unified,Whitman Continuation,"7795 Rosewood Avenue
Los Angeles 90036
(34.08020966500004, -118.35924293899996)",n/a, 09-12,59,18.4,69.5%,19.7,593,CalArts Community Arts Partnership (CAP),Dance,,,,,
Los Angeles Unified,Beethoven Street Elementary,"3711 Beethoven Street
Los Angeles 90066
(34.00229186800004, -118.44318913499995)",n/a, K-05,352,22,54.8%,22,901,Autry Museum; Broad Stage; Diavolo Dance Theater; Japanese American National Museum; P.S. ARTS; Young Storytellers Foundation,Dance,Literature,,Music/Opera,Theatre,Visual Art
Santa Monica-Malibu Unified,Point Dume Elementary,"6955 Fernhill Drive
Malibu 90265
(34.01213291400006, -118.80101187499997)",2003, K-05,257,23.4,1.2%,21.4,938,Julianna Ostrovsky; Santa Monica Academy of Music,,,,Music/Opera,,Visual Art
Los Angeles Unified,View Park Preparatory Accelerated Charter,"3751 West 54th Street
Los Angeles 90043
(33.993078138000044, -118.34006968999995)",n/a, K-05,493,25.1,69%,39.4,834,Autry Museum,,,,,,Visual Art
Redondo Beach Unified,Lincoln Elementary,"2223 Plant Avenue
Redondo Beach 90278
(33.88095068600006, -118.37209645799999)",2007, K-05,568,25.8,18.3%,23.7,913,Autry Museum; The Music Center,Dance,,,,Theatre,Visual Art
Claremont Unified,Condit Elementary,"1750 North Mountain Avenue
Claremont 91711
(34.115794246000064, -117.72893709299996)",2010, K-06,644,25.8,18.9%,24.7,930,Inland Pacific Ballet; The Music Center,Dance,,,,,
Saugus Union,Skyblue Mesa Elementary,"28040 Hardesty Avenue
Canyon Country 91351
(34.43416608300004, -118.48244353399997)",2007, K-06,512,24.4,29.3%,23.3,809,Santa Clarita Shakespeare Festival,,,,,Theatre,
Burbank Unified,George Washington Elementary,"2322 North Lincoln Street
Burbank 91504
(34.19813335900005, -118.33566940699995)",2004, K-05,509,24.3,58.5%,22.1,826,Autry Museum; Education Through Music-Los Angeles; Skirball Cultural Center; The Music Center,Dance,,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Fairfax Senior High,"7850 Melrose Avenue
Los Angeles 90046
(34.083773088000044, -118.36089026999997)",n/a, 08-12,2426,30.8,68.8%,25,741,Gay Men's Chorus of Los Angeles; Ryman Arts; Skirball Cultural Center; The Music Center,,,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Hancock Park Elementary,"408 South Fairfax Avenue
Los Angeles 90036
(34.06952051400003, -118.36137653299994)",n/a, K-05,807,24.4,13.1%,22.4,913,"LA County Museum of Art; Los Angeles Chamber Orchestra; Spirit Series, Inc.",,Literature,,Music/Opera,Theatre,Visual Art
Los Angeles Unified,Valerio Street Elementary,"15035 Valerio Street
Van Nuys 91405
(34.20486753600005, -118.46062947899998)",n/a, K-05,1046,24.3,84.5%,22,774,Autry Museum,,,,,,Visual Art
Long Beach Unified,Monroe K-8 ,"4400 Ladoga Avenue
Lakewood 90713
(33.83742097000004, -118.10337536799994)",n/a, K-08,824,26.6,63.7%,22.6,783,Autry Museum; International City Theatre; Long Beach Opera; The Music Center,,,,Music/Opera,Theatre,Visual Art
Long Beach Unified,Alvarado Elementary,"1900 East 21st Street
Signal Hill 90755
(33.79527667700006, -118.16861477499998)",n/a, K-05,424,26.5,86.1%,23.6,847,International City Theatre; Long Beach Symphony Orchestra,,,,Music/Opera,Theatre,
Little Lake City Elementary,Studebaker Elementary,"11800 Halcourt Avenue
Norwalk 90650
(33.926072401000056, -118.10118558499994)",2005, K-05,528,30.1,65.3%,27.8,844,The Music Center,,,,Music/Opera,,
Los Angeles Unified,Bridge Street Elementary,"605 North Boyle Avenue
Los Angeles 90033
(34.05248633200006, -118.21669948499999)",n/a, K-05,317,16.6,91.2%,14.4,716,24th Street Theatre Company; Autry Museum,,,,,Theatre,Visual Art
Los Angeles Unified,Burbank Boulevard Elementary,"12215 Albers Street
North Hollywood 91607
(34.17039817800003, -118.39891902699998)",n/a, K-05,407,25.4,83.3%,22.6,856,Autry Museum; Skirball Cultural Center,,,,,,Visual Art
Bellflower Unified,Craig Williams Elementary,"6144 North Clark Avenue
Lakewood 90712
(33.86665096300004, -118.13384436499996)",n/a, K-06,811,29.9,84.2%,28,804,The Music Center,Dance,,,,,
Norwalk-La Mirada Unified,Thomas B. Moffitt Elementary,"13323 South Goller Avenue
Norwalk 90650
(33.909796189000076, -118.06571938899998)",2003, K-06,668,26.4,81.3%,25.1,748,Diavolo Dance Theater,Dance,,,,,
Los Angeles Unified,School of Law & Government at Rosevelt High,"456 South Mathews Street
Los Angeles 90033
(34.03920404000007, -118.21122855599998)",n/a, 08-12,475,21.6,85.7%,17.6,573,826LA,,Literature,,,,
Los Angeles Unified,Robert E. Peary Middle,"1415 West Gardena Boulevard
Gardena 90247
(33.88198780100004, -118.30076996599996)",n/a, 06-08,1819,21.5,78.4%,17.6,724,LA County Museum of Art; Skirball Cultural Center; The Music Center,,,,Music/Opera,Theatre,Visual Art
Burbank Unified,William McKinley Elementary,"349 West Valencia Avenue
Burbank 91506
(34.16662594200005, -118.30983273799995)",2004, K-05,427,26.9,56%,23.7,835,Autry Museum; Young Storytellers Foundation,,Literature,,,Theatre,Visual Art
Long Beach Unified,Chavez Elementary,"730 West Third Street
Long Beach 90802
(33.770473424000045, -118.18292956199997)",n/a, K-05,518,27.3,83.8%,24.9,798,Arts Council for Long Beach; Long Beach Symphony Orchestra,Dance,,,Music/Opera,,
Centinela Valley Union High,Hawthorne High,"4859 West El Segundo Boulevard
Hawthorne 90250
(33.916431174000024, -118.36334113099997)",2013, 09-12,1959,27.4,77%,24.4,678,Ryman Arts; Broad Stage,,,Media Arts,,Theatre,Visual Art
Lancaster Elementary,West Wind Elementary,"44044 36th Street, West
Lancaster 93536
(34.68295289400004, -118.19468368899999)",2007, K-05,778,30.8,50.5%,28.8,818,The Music Center,Dance,,,,,
Glendale Unified,Monte Vista Elementary,"2620 Orange Avenue
La Crescenta 91214
(34.230551657000035, -118.23578536999997)",2008, K-06,606,26.3,7.6%,24.2,951,Autry Museum; The Music Center; LA County Museum of Art,,,,,Theatre,Visual Art
Glendale Unified,Abraham Lincoln Elementary,"4310 New York Avenue
La Crescenta 91214
(34.22813705900006, -118.25302707899999)",2008, K-06,473,26.3,24.1%,25.6,915,LA Opera,,,,Music/Opera,,
Montebello Unified,Bell Gardens High,"6119 Agra Street
Bell Gardens 90201
(33.97559329000006, -118.15425070499998)",2007, 09-12,3268,14.5,84.8%,22.1,686,Museum of Latin American Art; Shakespeare by the Sea,,,,,Theatre,Visual Art
Los Angeles Unified,Tom Bradley Global Awareness Magnet,"3875 Dublin Avenue
Los Angeles 90008
(34.01601776500007, -118.32245245299998)",n/a, K-05,403,23.6,70.2%,17.8,666,Skirball Cultural Center,,,,,,Visual Art
Pomona Unified,Diamond Point Elementary ,"24150 Sunset Crossing Road
Diamond Bar 91765
(34.03307674000007, -117.79788199499995)",2007, K-06,360,24,40%,20.6,861,The Music Center,Dance,,,,,
