#,Applicant Name,Discipline ,Allocation,Mailing Address,MA Part 2,Mail City,Mail State,Mail Zip,Fiscal Year
413,Rangoli Foundation for Art and Culture,Dance,"2,500 ",14748 Morrison Street,,Sherman Oaks,CA,91403,2011-12
414,Razorcake/Gorsky Press Inc,Multi-disciplinary,"7,000 ",P.O. Box 42129,,Los Angeles,CA,90042-0129,2011-12
415,Red Hen Press Inc,Literature,"3,750 ",P.O. Box 40820,,Pasadena,CA,91114,2011-12
416,Reprise Theatre Company,Theatre,"7,875 ",1575 Westwood Boulevard,", Suite 204",Los Angeles,CA,90024,2011-12
417,Rhapsody in Taps Incorporated,Dance,"6,125 ",4812 Matney Avenue,,Long Beach,CA,90807-1228,2011-12
418,Robey Theater Company,Theatre,"3,000 ",514 S. Spring Street,,Los Angeles,CA,90013-2304,2011-12
419,Rogue Artists Ensemble,Theatre,"1,575 ",10335 Almayo Avenue,", #4",Los Angeles,CA,90064,2011-12
420,Ryman Carroll Foundation,Visual/Design,"7,400 ",315 W. 9th Street,", Suite 806",Los Angeles,CA,90015,2011-12
421,San Fernando Valley Youth Chorus,Music,"2,500 ",22700 Sherman Way,,Canoga Park,CA,91307,2011-12
422,San Pedro City Ballet,Dance,"3,000 ",1231 Pacific Avenue,,San Pedro,CA,90731,2011-12
423,Santa Cecilia Opera and Orchestra Association,Music,"7,000 ",2759 W. Broadway,,Los Angeles,CA,90041,2011-12
424,Saturday Night Bath Concert Fund,Music,"1,500 ",4558 West 153rd Place,,Lawndale,CA,90260-1913,2011-12
425,"Self-Help Graphics and Arts, Inc.",Visual/Design,"9,625 ",3802 Cesar Chavez Avenue,,Los Angeles,CA,90063-1805,2011-12
426,"Shakespeare At Play, Inc.",Theatre,"4,375 ",328 Brighton Street,,Burbank,CA,91506,2011-12
427,"Shakespeare Center of Los Angeles, Inc.",Theatre,"16,625 ",1238 W. 1st Street,,Los Angeles,CA,90026,2011-12
428,SINERGIA Theatre Group-Grupo de Teatro SINERGIA,Theatre,"2,625 ",2332 W. 4th Street,,Los Angeles,CA,90057-2702,2011-12
429,Society for the Activation of Social Space through Art and Sound,Music,"7,875 ",P.O. Box 411453,,Los Angeles,CA,90041,2011-12
430,Son of Semele Ensemble Inc,Theatre,"4,000 ",3301 Beverly Boulevard,,Los Angeles,CA,90004,2011-12
431,"South Bay Chamber Music Society, Inc.",Music,"2,625 ",Box 2313,,Palos Verdes Peninsula,CA,90274,2011-12
432,South Robertson Neighborhoods Council,Festivals/Parades,"5,250 ",1836 1/2 Robertson Boulevard,,Los Angeles,CA,90035-4338,2011-12
433,Southern California Asian American Studies Central,Media,"8,050 ",120 Judge John Aiso Street,,Los Angeles,CA,90012,2011-12
434,Southern California Center for Non-Profit Management,Business Management & Arts Advocacy,"9,625 ",1000 N. Alameda Street,", Suite 250",Los Angeles,CA,90012,2011-12
435,Southern California Institute of Architecture,Visual/Design,"15,750 ",960 E. 3rd Street,,Los Angeles,CA,90013,2011-12
436,Southern California Public Radio,Media,"13,125 ",261 S. Figueroa Street,", Suite 200",Los Angeles,CA,90012,2011-12
437,Southwest Chamber Music Society,Music,"26,250 ",2500 E. Colorado Boulevard,,Pasadena,CA,91107,2011-12
438,"Street Poets, Inc.",Music,"10,500 ",2116 Arlington Avenue,", #310",Los Angeles,CA,90018,2011-12
439,Symphonic Jazz Orchestra,Music,"4,000 ",P.O. Box 1421,,Culver City,CA,90232,2011-12
440,Syzygy Theatre Group,Theatre,"3,500 ",1125 E. Broadway,", #67",Glendale,CA,91205,2011-12
441,Ta Yer,Multi-disciplinary,"4,375 ",1416 N. Garfield Avenue,,Pasadena,CA,91104,2011-12
442,TAIKOPROJECT,Multi-disciplinary,"3,000 ",2354 Vancouver Avenue,,Monterey Park,CA,91754,2011-12
443,Tazzla Institute for Cultural Diversity,Culture/History,"1,700 ",313 S. La Mer Street,,Burbank,CA,91506,2011-12
